CNES;NOMEUBS;STS;CRS;PERC_ESF;EAB;AREA_KM2;PERIMETRO_KM;POP_2010;DOM_PP_2010;DENS_DEMOG_HAB_P_KM2;DENS_DOMIC
2787806;UBS JARDIM SAO NICOLAU;PENHA;SUDESTE;100;ESF_EXCLUSIVA;1,97426664533;7,64273840301;27457;8573,34477421034;13907,4425761828;3,20260070288949
2786958;UBS COSTA MELO;ERMELINO MATARAZZO;LESTE;100;ESF_EXCLUSIVA;1,6843176649;7,46458514805;24451;7623,50272377267;14516,8577813685;3,20731832675202
2787881;AMA/UBS INTEGRADA JARDIM TIETE I;SAO MATEUS;LESTE;100;ESF_EXCLUSIVA;1,11118031985;5,77895867593;20516;6070,11943035564;18463,2499635788;3,37983465323647
6165516;UBS VILA CAMPESTRE;VILA MARIANA / JABAQUARA;SUDESTE;100;ESF_EXCLUSIVA;1,12872815072;5,26593234544;21876;6742,18123419551;19381,1060582175;3,24464727958478
5120780;UBS JARDIM LOURDES;VILA MARIANA / JABAQUARA;SUDESTE;100;ESF_EXCLUSIVA;1,05208139173;5,38483363505;18188;5505,96573358766;17287,6358644576;3,30332604306798
2786907;AMA/UBS INTEGRADA CIDADE LIDER I;ITAQUERA;LESTE;100;ESF_EXCLUSIVA;2,18960663171;7,45535358119;27681;8074,11639283522;12641,9967856885;3,42836276481764
2027461;UBS PARQUE DA LAPA;LAPA / PINHEIROS;OESTE;100;ESF_EXCLUSIVA;7,32267411611;12,2313238992;41652;14321,7866176619;5688,08598328375;2,90829636776141
2788896;UBS VILA FORMOSA II;MOOCA / ARICANDUVA / FORMOSA / CARRAO;SUDESTE;100;ESF_EXCLUSIVA;1,52479134449;8,10772854816;16621;5474,01258412509;10900,5078367357;3,03634669167582
3708411;AMA/UBS INTEGRADA VILA CLARA;VILA MARIANA / JABAQUARA;SUDESTE;100;ESF_EXCLUSIVA;,713721975724;4,24270761158;20373;5892,38228907538;28544,728469841;3,45751497450734
6332528;UBS VILA ROSCHEL;PARELHEIROS;SUL;100;ESF_EXCLUSIVA;3,87770697231;11,8679654413;6200;1726,91367342301;1598,88306266386;3,59021999502189
